nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Hugo Napoleão Do Rego Neto,PI,Nordeste,PSD,Independente,135343.87,173
Inocêncio Gomes De Oliveira,PE,Nordeste,PR,Independente,35023.02,163
Iracema Maria Portella Nunes Nogueira Lima,PI,Nordeste,PP,Governo,124454.59,169
Irajá Silvestre Filho,TO,Norte,PSD,Independente,60174.86,163
Íris De Araújo Rezende Machado,GO,Centro-oeste,PMDB,Governo,121074.32,167
José Almeida Lima,SE,Nordeste,PPS,Oposicao,74492.59,174
Ivan Valente,SP,Sudeste,PSOL,Oposicao,101340.74,196
Izalci Lucas Ferreira,DF,Centro-oeste,PR,Independente,102247.72,198
Jaime Martins Filho,MG,Sudeste,PR,Independente,104837.22,169
Jair Messias Bolsonaro,RJ,Sudeste,PP,Governo,88498.15,172
Jairo Ataíde Vieira,MG,Sudeste,DEM,Oposicao,122412.22,182
Jandira Feghali,RJ,Sudeste,PC do B,Governo,85515.66,175
Janete Rocha Pietá,SP,Sudeste,PT,Governo,120937.72,189
Jânio Natal Andrade Borges,BA,Nordeste,PRP,Governo,101483.25,163
Jaqueline Maria Roriz,DF,Centro-oeste,PMN,Governo,8096.96,162
Amauri Santos Teixeira,BA,Nordeste,PT,Governo,63307.01,196
Jean Wyllys De Matos Santos,RJ,Sudeste,PSOL,Oposicao,52492.28,172
Jefferson Alves De Campos,SP,Sudeste,PSD,Independente,143580.42,161
Jerônimo Pizzolotto Goergen,RS,Sul,PP,Governo,102620.71,149
Jesus Rodrigues Alves,PI,Nordeste,PT,Governo,132204.04,202
Johnathan Pereira De Jesus,RR,Norte,PRB,Governo,137575.48,145
Jilmar Augustinho Tatto,SP,Sudeste,PT,Governo,120071.87,189
Maria Do Socorro Jô Moraes,MG,Sudeste,PC do B,Governo,135748.83,200
João Ananias Vasconcélos Neto,CE,Nordeste,PC do B,Governo,126797.71,166
João José De Arruda Júnior,PR,Sul,PMDB,Governo,70804.66,198
João Bittar Júnior,MG,Sudeste,DEM,Oposicao,103029.37,154
Anderson Ferreira Rodrigues,PE,Nordeste,PR,Independente,132111.53,170
João Campos De Araújo,GO,Centro-oeste,PSDB,Oposicao,128850.83,178
João Carlos Paolilo Bacelar Filho,BA,Nordeste,PR,Independente,146122.75,168
João Eduardo Dado Leite De Carvalho,SP,Sudeste,PDT,Governo,107380.72,179
João José Pereira De Lyra,AL,Nordeste,PSD,Independente,27712.51,121
João Lúcio Magalhães Bifano,MG,Sudeste,PMDB,Governo,109611.82,170
João Da Silva Maia,RN,Nordeste,PR,Independente,106559.67,163
João Paulo Cunha,SP,Sudeste,PT,Governo,116907.62,172
João Paulo Lima E Silva,PE,Nordeste,PT,Governo,64123.3,181
Joaquim Beltrão Siqueira,AL,Nordeste,PMDB,Governo,159453.44,159
André Peixoto Figueiredo Lima,CE,Nordeste,PDT,Governo,125031.4,201
Jonas Donizette Ferreira,SP,Sudeste,PSB,Governo,94418.82,193
Jorge Catarino Leonardeli Boeira,SC,Sul,PSD,Independente,73092.36,169
